Matrix,Matrix %,Size1,RNF1 %,Size2,RNF2%,stiring time,stir speed mixing,temperature,Tensile Strength,BHN
2.0,95.0,37.0,5.0,0.0,0.0,10.0,650.0,750.0,108.8,30.0
2.0,93.0,37.0,7.0,0.0,0.0,10.0,650.0,750.0,121.4,32.0
2.0,90.0,37.0,7.0,0.0,3.0,10.0,650.0,750.0,134.0,35.0
1.0,100.0,20.0,0.0,0.0,0.0,10.0,400.0,720.0,225.0,80.0
1.0,98.0,20.0,2.0,0.0,0.0,10.0,400.0,720.0,260.0,90.0
1.0,96.0,20.0,4.0,0.0,0.0,10.0,400.0,720.0,270.0,100.0
1.0,94.0,20.0,6.0,0.0,0.0,10.0,400.0,720.0,290.0,110.0
2.0,100.0,20.0,0.0,0.0,0.0,10.0,400.0,720.0,80.0,60.0
2.0,98.0,20.0,2.0,0.0,0.0,10.0,400.0,720.0,100.0,70.0
2.0,96.0,20.0,4.0,0.0,0.0,10.0,400.0,720.0,130.0,90.0
2.0,94.0,20.0,6.0,0.0,0.0,10.0,400.0,720.0,150.0,100.0
2.0,100.0,150.0,0.0,0.0,0.0,10.0,400.0,710.0,90.0,55.0
2.0,98.0,150.0,2.0,0.0,0.0,10.0,400.0,710.0,118.0,68.0
2.0,96.0,150.0,4.0,0.0,0.0,10.0,400.0,710.0,140.0,83.0
2.0,94.0,150.0,6.0,0.0,0.0,10.0,400.0,710.0,170.0,95.0
2.0,100.0,5.0,0.0,0.0,0.0,8.0,500.0,720.0,99.74,60.5
2.0,99.0,5.0,1.0,0.0,0.0,8.0,500.0,720.0,123.7,65.5
2.0,98.0,5.0,2.0,0.0,0.0,8.0,500.0,720.0,133.03,67.1
2.0,97.0,5.0,3.0,0.0,0.0,8.0,500.0,720.0,155.3,69.0
2.0,96.0,5.0,4.0,0.0,0.0,8.0,500.0,720.0,97.0,56.6
2.0,100.0,15.0,0.0,0.0,0.0,8.0,500.0,720.0,99.74,60.5
2.0,99.0,15.0,1.0,0.0,0.0,8.0,500.0,720.0,119.74,53.67
2.0,98.0,15.0,2.0,0.0,0.0,8.0,500.0,720.0,127.04,49.73
2.0,97.0,15.0,3.0,0.0,0.0,8.0,500.0,720.0,127.94,48.77
2.0,96.0,15.0,4.0,0.0,0.0,8.0,500.0,720.0,137.49,46.47
